10,16.458
64,95.773
128,173.335
256,300.376
512,457.344
1024,638.460
4096,870.116
16384,961.001
65536,1001.037
262144,1018.237
1048576,1009.093
2097152,1021.611
2097152,1024.727
2097152,1051.049
4194304,1034.330
1048576,1043.132
33554432,948.486
67108864,947.362
10,16.276
64,94.706
128,171.473
256,292.642
512,457.163
1024,629.773
4096,859.514
16384,944.069
65536,972.870
262144,985.668
1048576,981.566
2097152,970.320
4194403,967.073
8388606,944.168
16777216,917.042
33554432,896.665
67108864,900.996
134217728,913.881
10,13.263
64,56.678
128,79.499
256,90.147
512,82.842
1024,61.518
4096,21.848
16384,6.104
65536,1.636
10,13.424
10,16.488
64,55.741
64,95.251
128,77.934
128,169.825
256,88.250
256,299.556
512,82.251
512,465.442
1024,62.183
